team_id,season_id,conference,rank,coach,PTS/G,OppPTS/G,SRS,Pace,ORtg,DRtg,NetRtg,championship_odds,attendace_total,wins,losses
23,3,Eastern Conference,3,Doc Rivers,115.2,110.9,4.37,96.9,117.7,113.3,4.4,+1400,839261,54,28
23,4,Eastern Conference,4,Doc Rivers,109.9,107.3,2.57,96.2,113.5,110.8,2.7,+1600,846867,51,31
23,5,Eastern Conference,1,Doc Rivers,113.6,108.1,5.28,99.5,113.2,107.6,5.6,+2000,68583,49,23
23,6,Eastern Conference,6,Brett Brown,110.7,108.4,2.25,99.0,111.3,109.0,2.4,+775,639491,43,30
23,7,Eastern Conference,3,Brett Brown,115.2,112.5,2.25,101.6,112.6,110.0,2.6,+2000,838342,51,31
24,1,Western Conference,11,Mike Budenholzer,113.6,116.6,2.55,97.1,116.2,119.3,3.1,+1500,699911,36,46
24,2,Western Conference,6,Frank Vogel,116.2,113.2,3.08,98.3,117.6,114.6,3.1,+600,699911,49,33
24,3,Western Conference,4,Monty Williams,113.6,111.6,2.08,98.2,115.1,113.0,2.1,+1000,699911,45,37
24,4,Western Conference,1,Monty Williams,114.8,107.3,6.94,99.8,114.8,107.3,7.5,+1500,663171,64,18
24,5,Western Conference,2,Monty Williams,115.3,109.5,5.67,97.2,117.2,111.3,5.9,+4000,104027,51,21
24,6,Western Conference,10,Monty Williams,113.6,113.4,0.56,101.3,111.7,111.4,0.2,+50000,550633,34,39
24,7,Western Conference,15,Igor Kokoskov,107.5,116.8,8.61,100.5,105.9,115.1,9.2,+75000,627023,19,63
25,1,Western Conference,12,Chauncey Billups,110.9,113.9,2.67,98.8,111.7,114.7,3.0,+100000,719369,36,46
25,2,Western Conference,15,Chauncey Billups,106.4,115.4,8.29,97.2,108.3,117.5,9.2,+12500,751395,21,61
25,3,Western Conference,13,Chauncey Billups,113.4,117.4,3.96,98.6,114.8,118.8,4.1,+8000,767374,33,49
25,4,Western Conference,13,Chauncey Billups,106.2,115.1,8.55,98.3,107.8,116.9,9.0,+5000,705608,27,55
25,5,Western Conference,6,Terry Stotts,116.1,114.3,1.80,98.4,117.8,116.0,1.8,+4000,5817,42,30
25,6,Western Conference,8,Terry Stotts,115.0,116.1,0.61,100.7,113.7,114.8,1.1,+3500,628303,35,39
25,7,Western Conference,3,Terry Stotts,114.7,110.5,4.43,99.1,114.7,110.5,4.2,+30000,799345,53,29
26,1,Western Conference,9,Mike Brown,115.7,115.3,0.58,98.2,116.7,116.2,0.5,+6600,696409,40,42
26,2,Western Conference,9,Mike Brown,116.6,114.8,2.29,98.8,116.9,115.2,1.7,+3500,735015,46,36
26,3,Western Conference,3,Mike Brown,120.7,118.1,2.30,100.3,119.4,116.8,2.6,+50000,715491,48,34
26,4,Western Conference,12,Luke Walton,110.3,115.8,5.26,99.8,109.9,115.3,5.4,+25000,577583,30,52
26,5,Western Conference,12,Luke Walton,113.7,117.4,3.45,100.0,113.6,117.2,3.7,+25000,0,31,41
26,6,Western Conference,12,Luke Walton,110.1,112.1,1.58,98.9,110.2,112.2,2.0,+15000,520663,31,41
26,7,Western Conference,9,Dave Joerger,114.2,115.3,0.81,103.1,110.4,111.5,1.1,+200000,700975,39,43
27,1,Western Conference,13,Gregg Popovich,113.9,116.7,2.45,99.3,114.4,117.2,2.8,+15000,731474,34,48
27,2,Western Conference,14,Gregg Popovich,112.1,118.6,5.80,101.1,110.0,116.4,6.4,+15000,742522,22,60
27,3,Western Conference,15,Gregg Popovich,113.0,123.1,9.82,101.6,110.2,120.0,9.8,+50000,694434,22,60
27,4,Western Conference,10,Gregg Popovich,113.2,113.0,0.02,100.0,112.4,112.3,0.1,+30000,615588,34,48
27,5,Western Conference,10,Gregg Popovich,111.1,112.8,1.58,98.9,111.0,112.8,1.7,+25000,61053,33,39
27,6,Western Conference,11,Gregg Popovich,114.1,115.2,0.65,100.5,112.4,113.5,1.1,+6000,550515,32,39
27,7,Western Conference,7,Gregg Popovich,111.7,110.0,1.80,98.3,112.9,111.2,1.7,+10000,750616,48,34
28,1,Eastern Conference,11,Darko Rajakovic,110.9,115.2,4.40,99.7,110.5,114.8,4.3,+100000,768573,30,52
28,2,Eastern Conference,12,Darko Rajakovic,112.4,118.8,6.45,99.4,112.3,118.8,6.4,+8000,800129,25,57
28,3,Eastern Conference,9,Nick Nurse,112.9,111.4,1.59,97.1,115.5,114.0,1.5,+4000,811261,41,41
28,4,Eastern Conference,5,Nick Nurse,109.4,107.1,2.38,96.0,112.9,110.5,2.4,+15000,547343,48,34
28,5,Eastern Conference,12,Nick Nurse,111.3,111.7,0.54,99.2,112.0,112.5,0.5,+3000,26024,27,45
28,6,Eastern Conference,2,Nick Nurse,112.8,106.5,5.97,100.9,111.1,105.0,6.1,+5500,633456,53,19
28,7,Eastern Conference,2,Nick Nurse,114.4,108.4,5.49,100.2,113.1,107.1,6.0,+1850,812822,58,24
29,1,Western Conference,15,Will Hardy,111.9,121.2,8.51,100.0,111.2,120.4,9.3,+50000,745175,17,65
